city,state,lat,long
Renton,Washington,47.47,-122.19 
Davie,Florida,26.07,-80.28 
Rialto,California,34.11,-117.38 
Boulder,Colorado,40.02,-105.25 
South Bend,Indiana,41.67,-86.26 
Woodbridge,New Jersey,40.56,-74.28 
Vacaville,California,38.35,-121.97 
Wichita Falls,Texas,33.90,-98.52 
Lee's Summit,Missouri,38.92,-94.37 
Edinburg,Texas,26.30,-98.16 
Chico,California,39.74,-121.83 
San Mateo,California,37.56,-122.31 
Bend,Oregon,44.30,-121.18 
Goodyear,Arizona,33.45,-112.36 
Buckeye,Arizona,33.37,-112.59 
Daly City,California,37.70,-122.46 
Fishers,Indiana,39.96,-86.01 
Quincy,Massachusetts,42.25,-71.00 
Davenport,Iowa,41.55,-90.60 
Hesperia,California,34.41,-117.31 
New Bedford,Massachusetts,41.64,-70.93 
Lynn,Massachusetts,42.47,-70.95 
Carmel,Indiana,39.58,-86.60 
Longmont,Colorado,40.17,-105.11 
Tuscaloosa,Alabama,33.21,-87.53 
Norwalk,California,33.90,-118.08 
